City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,manakara,-22.1333,48.0167,294.86,92,35,2.59,MG,1681865542
1,ushuaia,-54.8,-68.3,278.96,70,100,2.57,AR,1681865543
2,jamestown,42.097,-79.2353,275.77,94,100,3.09,US,1681865543
3,butaritari,3.0707,172.7902,301.27,77,50,5.49,KI,1681865543
4,sao joao da barra,-21.6403,-41.0511,299.2,83,100,4.15,BR,1681865544
5,nouadhibou,20.931,-17.0347,291.41,89,0,5.91,MR,1681865544
6,yellowknife,62.456,-114.3525,279.44,45,40,6.71,CA,1681865379
7,aklavik,68.2191,-135.0107,262.15,88,100,4.55,CA,1681865544
8,carnarvon,-24.8667,113.6333,298.46,32,9,8.55,AU,1681865545
9,bambous virieux,-20.3428,57.7575,299.29,78,40,4.12,MU,1681865545
10,victoria,22.2855,114.1577,302.15,85,26,5.81,HK,1681865342
11,vaini,-21.2,-175.2,299.24,83,75,9.77,TO,1681865546
12,geraldton,-28.7667,114.6,295.38,43,0,8.75,AU,1681865546
13,yar-sale,66.8333,70.8333,253.95,99,55,1.48,RU,1681865547
14,busselton,-33.65,115.3333,288.13,62,0,4.3,AU,1681865548
15,buala,-8.145,159.5921,302.34,65,50,0.68,SB,1681865548
16,norman wells,65.282,-126.8329,266.17,68,75,3.6,CA,1681865549
17,bengkulu,-3.8004,102.2655,299.71,78,21,1.25,ID,1681865550
18,avarua,-21.2078,-159.775,296.18,88,100,6.69,CK,1681865550
19,belaya gora,68.5333,146.4167,264.93,84,100,2.93,RU,1681865550
20,bluff,-46.6,168.3333,286.71,67,36,2.16,NZ,1681865551
21,rikitea,-23.1203,-134.9692,299.22,69,11,4.89,PF,1681865551
22,turayf,31.6725,38.6637,291.29,63,40,2.06,SA,1681865551
23,ponta do sol,32.6667,-17.1,291.5,68,12,3.02,PT,1681865552
24,zhangye,38.9342,100.4517,281.95,27,78,11.71,CN,1681865552
25,port alfred,-33.5906,26.891,293.17,83,50,3.23,ZA,1681865552
26,georgetown,5.4112,100.3354,302.11,94,20,1.54,MY,1681865511
27,east london,-33.0153,27.9116,292.51,81,16,2.47,ZA,1681865476
28,lagoa,39.05,-27.9833,287.55,72,90,6.95,PT,1681865553
29,upernavik,72.7868,-56.1549,257.39,99,100,1.75,GL,1681865553
30,meulaboh,4.1363,96.1285,298.78,87,100,1.21,ID,1681865553
31,datong,40.0936,113.2914,289.62,32,99,3.13,CN,1681865554
32,marzuq,14.4,46.4667,294.7,48,4,2.35,YE,1681865554
33,karatuzskoye,53.6072,92.8667,265.69,71,100,3.95,RU,1681865554
34,mercedes,-34.6515,-59.4307,283.73,51,100,2.36,AR,1681865554
35,tansen,27.8673,83.5467,293.77,27,0,2.26,NP,1681865508
36,hun,29.1268,15.9477,287.95,49,0,2.4,LY,1681865555
37,ternate,0.8,127.4,301.83,71,25,0.46,ID,1681865555
38,torbay,47.6666,-52.7314,271.8,93,100,6.69,CA,1681865555
39,new norfolk,-42.7826,147.0587,285.87,71,100,2.24,AU,1681865556
40,rabo de peixe,37.8,-25.5833,285.88,76,20,3.09,PT,1681865556
41,williams lake,52.1415,-122.1445,277.91,59,100,8.75,CA,1681865556
42,alta floresta,-9.8756,-56.0861,296.08,96,100,1.32,BR,1681865556
43,mataura,-46.1927,168.8643,288.34,61,72,1.52,NZ,1681865557
44,erenhot,43.6475,111.9767,290.81,22,98,9.18,CN,1681865557
45,manokwari,-0.8667,134.0833,301.27,73,18,1.46,ID,1681865557
46,arraial do cabo,-22.9661,-42.0278,297.13,94,75,1.54,BR,1681865557
47,tasiilaq,65.6145,-37.6368,275.24,98,100,5.93,GL,1681865557
48,atar,20.5169,-13.0499,299.0,27,0,2.28,MR,1681865558
49,klaksvik,62.2266,-6.589,280.66,87,58,6.86,FO,1681865558
50,margate,51.3813,1.3862,283.65,85,78,1.79,GB,1681865559
51,pevek,69.7008,170.3133,270.14,78,100,5.53,RU,1681865559
52,punta arenas,-53.15,-70.9167,282.21,87,75,5.14,CL,1681865559
53,kruisfontein,-34.0033,24.7314,288.83,87,86,2.44,ZA,1681865559
54,saint-philippe,-21.3585,55.7679,297.92,82,35,5.9,RE,1681865560
55,puerto ayora,-0.7393,-90.3518,298.46,97,100,1.04,EC,1681865560
56,hobart,-42.8794,147.3294,286.07,71,75,7.72,AU,1681865560
57,mar del plata,-38.0023,-57.5575,285.42,92,75,3.09,AR,1681865400
58,quelimane,-17.8786,36.8883,295.12,94,0,1.03,MZ,1681865561
59,praia da vitoria,38.7333,-27.0667,287.29,88,75,4.89,PT,1681865561
60,lorengau,-2.0226,147.2712,302.72,70,100,3.84,PG,1681865561
61,nanchang,28.6833,115.8833,295.45,88,100,1.84,CN,1681865561
62,cape town,-33.9258,18.4232,289.47,81,18,1.54,ZA,1681865164
63,port hedland,-20.3167,118.5667,300.18,26,7,8.75,AU,1681865562
64,jumla,29.2747,82.1838,284.45,62,0,1.59,NP,1681865562
65,prince george,53.9166,-122.753,278.87,72,0,4.12,CA,1681865515
66,hilo,19.7297,-155.09,301.0,72,0,7.72,US,1681865562
67,zhigansk,66.7697,123.3711,262.61,90,93,5.04,RU,1681865562
68,khatanga,71.9667,102.5,254.03,99,100,0.57,RU,1681865563
69,clyde river,70.4692,-68.5914,259.28,66,0,7.2,CA,1681865563
70,malysheva,57.1185,61.4035,268.63,65,10,1.99,RU,1681865564
71,guerrero negro,27.9769,-114.0611,288.27,72,100,10.11,MX,1681865564
72,iqaluit,63.7506,-68.5145,259.0,78,75,3.6,CA,1681865564
73,pauini,-7.7136,-66.9764,299.6,77,100,0.88,BR,1681865565
74,kaitangata,-46.2817,169.8464,287.74,69,99,2.26,NZ,1681865565
75,kavieng,-2.5744,150.7967,301.43,71,85,1.4,PG,1681865565
76,suntar,62.1444,117.6319,269.42,82,90,1.15,RU,1681865566
77,barrow,71.2906,-156.7887,256.16,71,0,6.69,US,1681865566
78,nanortalik,60.1432,-45.2371,273.59,91,90,1.75,GL,1681865566
79,tuktoyaktuk,69.4541,-133.0374,258.15,78,100,3.09,CA,1681865566
80,port lincoln,-34.7333,135.8667,288.72,54,100,5.49,AU,1681865566
81,pangnirtung,66.1451,-65.7125,254.92,86,5,2.87,CA,1681865567
82,rusape,-18.5278,32.1284,285.73,95,4,0.63,ZW,1681865567
83,port augusta,-32.5,137.7667,291.04,46,31,8.4,AU,1681865567
84,santa maria,-29.6842,-53.8069,289.76,59,0,3.6,BR,1681865568
85,tazovskiy,67.4667,78.7,260.24,96,100,3.76,RU,1681865568
86,nioro,13.35,-15.75,301.83,34,100,5.01,GM,1681865568
87,chokurdakh,70.6333,147.9167,263.2,91,100,3.42,RU,1681865568
88,koubia,11.5833,-11.9,297.89,24,100,1.35,GN,1681865569
89,naryan-mar,67.6713,53.087,262.67,100,99,3.12,RU,1681865569
90,sergeyevka,53.88,67.4158,272.09,83,16,1.54,KZ,1681865571
91,dedougou,12.4667,-3.4667,303.11,9,100,2.67,BF,1681865572
92,vila franca do campo,37.7167,-25.4333,286.38,77,16,1.43,PT,1681865572
93,narsaq,60.9167,-46.05,276.27,91,18,0.32,GL,1681865573
94,pivka,45.6829,14.1959,284.63,92,71,2.23,SI,1681865573
95,bougouni,11.417,-7.479,302.65,12,57,1.4,ML,1681865574
96,jaen,38.0,-3.5,286.62,59,100,3.28,ES,1681865532
97,wattegama,6.7989,81.4808,297.54,89,21,0.69,LK,1681865574
98,qaanaaq,77.484,-69.3632,256.1,71,0,3.18,GL,1681865574
99,temir,49.1414,57.13,277.51,60,31,1.24,KZ,1681865574
100,codrington,-38.2667,141.9667,288.37,51,42,7.53,AU,1681865575
101,pangai,-19.8,-174.35,302.21,79,40,2.57,TO,1681865575
102,kristiansund,63.1115,7.732,279.51,70,95,2.06,NO,1681865575
103,buluang,13.3068,123.3425,302.98,67,87,0.53,PH,1681865576
104,cooma,-36.2333,149.1333,290.91,39,3,1.19,AU,1681865576
105,nishihara,26.1842,127.7558,297.75,88,75,10.29,JP,1681865576
106,castro,-24.7911,-50.0119,289.09,97,100,2.12,BR,1681865577
107,narsipatnam,17.6667,82.6167,302.53,39,59,1.64,IN,1681865577
108,nome,64.5011,-165.4064,266.02,62,0,0.0,US,1681865577
109,saint-joseph,-21.3667,55.6167,297.36,80,17,5.16,RE,1681865577
110,esperance,-33.8667,121.9,289.68,51,43,1.16,AU,1681865578
111,liverpool,53.4106,-2.9779,281.56,76,20,4.12,GB,1681865475
112,malakal,9.5334,31.6605,302.59,48,42,1.58,SS,1681865578
113,kavaratti,10.5669,72.642,301.71,71,6,3.22,IN,1681865578
114,dingle,10.9995,122.6711,303.15,65,24,3.22,PH,1681865578
115,hithadhoo,-0.6,73.0833,301.73,70,100,2.16,MV,1681865579
116,cascavel,-24.9558,-53.4553,288.93,82,0,3.6,BR,1681865488
117,kapaa,22.0752,-159.319,296.33,92,100,8.75,US,1681865579
118,yeovil,50.9416,-2.6321,281.26,83,7,3.09,GB,1681865579
119,nikolskoye,59.7035,30.7861,278.09,97,52,3.42,RU,1681865580
120,bredasdorp,-34.5322,20.0403,287.36,91,97,1.35,ZA,1681865580
121,yulara,-25.2406,130.9889,293.43,38,0,9.36,AU,1681865580
122,albany,42.6001,-73.9662,280.02,72,94,0.45,US,1681865499
123,zalantun,48.0,122.7167,280.0,46,100,5.08,CN,1681865581
124,haines junction,60.7522,-137.5108,274.12,60,100,4.12,CA,1681865581
125,hamilton,39.1834,-84.5333,289.62,49,20,2.57,US,1681865526
126,nagato,34.3833,131.2,291.88,90,100,2.97,JP,1681865582
127,bosaso,11.2842,49.1816,300.52,62,4,2.84,SO,1681865582
128,atuona,-9.8,-139.0333,300.39,77,31,6.36,PF,1681865583
129,cayenne,4.9333,-52.3333,297.17,100,0,0.51,GF,1681865583
130,yeppoon,-23.1333,150.7333,300.03,57,0,4.32,AU,1681865584
131,kloulklubed,7.0419,134.2556,303.43,75,38,3.99,PW,1681865584
132,la ronge,55.1001,-105.2842,274.29,51,100,7.72,CA,1681865584
133,cherskiy,68.75,161.3,272.52,88,100,2.17,RU,1681865585
134,dikson,73.5069,80.5464,261.08,95,100,4.45,RU,1681865585
135,pucara,-15.9803,-71.4606,274.22,60,3,1.3,PE,1681865585
